,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude
1409,2022-11-09,61.0,27.203001,23.253,24.990501,31.645493,27.907108,29.80607,0,0,43018.07,30309.684,6.1,6.1,0.0,12.0,11.753876,31.319998,226.13997,14.25,2.7279572,Douala,4.0483,9.7043
1410,2022-11-10,61.0,28.703001,22.903,25.121752,34.657627,27.652699,30.185122,0,0,43008.266,35975.164,5.7999997,5.7999997,0.0,15.0,12.031756,28.44,223.53128,17.06,3.3213925,Douala,4.0483,9.7043
1411,2022-11-11,63.0,28.353,23.403,25.463417,33.345364,28.437637,30.466005,0,0,42998.64,32866.87,13.9,13.9,0.0,14.0,12.682018,30.239998,221.40863,16.09,3.1752553,Douala,4.0483,9.7043
1412,2022-11-12,63.0,30.403,23.053,26.07592,37.171135,28.058609,31.510462,0,0,42989.19,38562.293,13.0,13.0,0.0,12.0,9.686609,27.0,206.73196,18.57,3.7299862,Douala,4.0483,9.7043
1413,2022-11-13,63.0,28.753,22.853,25.298836,33.8164,27.004868,30.080894,0,0,42979.95,28285.53,10.0,10.0,0.0,12.0,10.009036,25.199999,204.60847,13.71,2.7476804,Douala,4.0483,9.7043
1414,2022-11-14,55.0,29.053,23.453001,25.80092,35.209587,28.365047,30.622442,0,0,42970.906,32180.371,2.9,2.9,0.0,10.0,17.566378,40.32,232.78503,17.72,3.466916,Douala,4.0483,9.7043
1415,2022-11-15,51.0,29.253,23.203001,25.628004,34.507366,28.166992,30.211205,0,0,42962.086,37935.5,2.3,2.3,0.0,11.0,15.629971,37.079998,227.09523,18.36,3.6312597,Douala,4.0483,9.7043
1416,2022-11-16,63.0,28.253,22.753,25.361334,32.332172,27.446423,29.731428,0,0,42953.5,38341.918,4.5,4.5,0.0,9.0,15.9134655,34.92,227.80252,17.97,3.538376,Douala,4.0483,9.7043
1417,2022-11-17,51.0,28.803,22.503,25.648834,33.948494,26.887293,30.597109,0,0,42945.164,38345.766,1.5,1.5,0.0,10.0,13.0447235,31.319998,220.15004,16.5,3.2876642,Douala,4.0483,9.7043
1418,2022-11-18,65.0,27.753,23.403,25.54467,33.56687,28.477573,30.94203,0,0,42937.066,36141.74,21.5,21.5,0.0,14.0,13.608762,31.68,214.89337,16.56,3.197387,Douala,4.0483,9.7043
1419,2022-11-19,63.0,29.353,23.253,25.913414,34.617405,28.237946,30.807215,0,0,42929.13,35847.26,3.8999999,3.8999999,0.0,7.0,16.595179,36.719997,230.33218,18.3,3.6694834,Douala,4.0483,9.7043
1420,2022-11-20,51.0,28.853,24.303,26.007166,34.80804,29.368515,30.983492,0,0,42921.336,31981.635,1.8000003,1.8000003,0.0,13.0,14.480773,33.48,220.36954,17.25,3.4137747,Douala,4.0483,9.7043
1421,2022-11-21,53.0,28.903,23.353,25.859255,34.16661,28.314114,30.8696,0,0,42913.695,38631.582,2.1,2.1,0.0,11.0,12.984975,31.319998,219.39644,18.58,3.6110876,Douala,4.0483,9.7043
1422,2022-11-22,51.0,30.153,23.203001,26.248833,36.662727,27.912529,31.231653,0,0,42906.223,38758.01,0.70000005,0.70000005,0.0,3.0,13.392774,29.16,236.74255,18.65,3.8291502,Douala,4.0483,9.7043
1423,2022-11-23,51.0,30.203001,23.853,26.561333,36.36436,28.915104,31.646759,0,0,42898.92,38122.973,0.8,0.8,0.0,5.0,13.584932,29.519999,216.86992,18.35,3.7471778,Douala,4.0483,9.7043
1424,2022-11-24,53.0,29.053,24.303,26.402998,34.33165,29.806541,31.363419,0,0,42891.805,37004.492,2.1999998,2.1999998,0.0,9.0,18.0,39.96,214.90257,17.77,3.5968826,Douala,4.0483,9.7043
1425,2022-11-25,51.0,29.053,23.903,26.234255,34.230507,29.236877,30.985567,0,0,42884.883,38518.5,1.5000001,1.5000001,0.0,9.0,15.072783,33.48,219.44945,18.17,3.6818953,Douala,4.0483,9.7043
1426,2022-11-26,55.0,28.703001,23.553,25.819666,33.682076,28.652214,30.614967,0,0,42878.16,38247.543,2.8999999,2.8999999,0.0,8.0,15.580141,34.2,221.93756,18.07,3.5323162,Douala,4.0483,9.7043
1427,2022-11-27,53.0,28.853,22.303,25.353003,34.153675,25.985617,29.935106,0,0,42871.645,34666.727,2.4,2.4,0.0,10.0,12.984975,30.960001,204.9654,15.33,3.0371633,Douala,4.0483,9.7043
